   "Can. dollar"    "Ger. mark"    "Fr. franc"     "UK pound"       "J. yen"
            .977          2.575          4.763         .41997          301.5
           .9768          2.615          4.818           .424          302.4
           .9776           2.63          4.806         .42976          303.2
           .9882          2.663          4.825         .43241          301.9
           .9864          2.654          4.796         .43185          302.7
           .9876          2.663          4.818         .43163          302.5
           .9876          2.649          4.791         .43169            296
           .9828           2.66          4.787         .43187          295.5
           .9842          2.652          4.756          .4283          298.6
           .9788          2.589          4.752         .42726          299.4
            .982          2.581           4.74         .42885          299.2
           .9836          2.575           4.72         .42878            300
           .9844          2.574          4.695          .4283          299.9
           .9854          2.552          4.676         .42617          300.8
           .9912          2.559          4.704         .43363          300.2
           .9858          2.521          4.865         .43039          299.8
           .9866          2.467          4.626         .43063            300
           .9864          2.491          4.619         .43029            300
           .9856          2.466          4.493         .43057          299.9
           .9892          2.427          4.485         .42775         300.45
           .9884          2.433          4.459          .4279         300.95
           .9916          2.421          4.462         .42801         300.62
           .9938         2.3845         4.4105         .42553          300.5
           .9952         2.3975         4.4256         .42597          300.9
           .9936           2.34          4.305         .42159         300.75
           .9966          2.343          4.355          .4212          298.5
           .9988          2.382        4.36825        .421585         297.15
          1.0016           2.35       4.329375        .419745            292
          1.0022         2.3175       4.279375        .417258          293.5
           .9966          2.294        4.19375        .413479          285.5
           .9974         2.3035        4.18525        .412439          285.1
          1.0006         2.3095          4.199        .412677          287.2
           .9996          2.307          4.181        .412286          288.4
          1.0018          2.336          4.212        .414507          291.5
          1.0022         2.3324        4.18875          .4152          291.3
          1.0052          2.361        4.20875         .41983          291.8
          1.0118         2.3878          4.199         .42321          291.3
          1.0162         2.3727        4.16075         .42421          292.8
          1.0192          2.378        4.13688         .42497          293.3
           1.026          2.366        4.07125        .427423          291.3
          1.0324         2.3305          4.036        .432994          291.5
          1.0268         2.3395        4.03062        .432956          292.1
          1.0278         2.3285        3.96875        .429553         290.85
          1.0276          2.337          3.999        .430979          291.2
          1.0238          2.335         4.0065        .434405         291.95
          1.0246         2.3328        3.98715        .440063            294
          1.0266         2.3376           3.99        .443361          296.3
            1.03          2.376         4.0935        .453926          295.4
           1.031          2.394         4.1235        .453063          295.7
          1.0314         2.4795          4.205        .458211         295.95
           1.032         2.5341        4.34525        .459559          296.6
            1.03         2.5588          4.363        .459982          296.5
          1.0324          2.565        4.35763        .468384            298
          1.0372         2.5875          4.395        .475285         297.99
          1.0372         2.5563        4.33625        .470876            298
           1.035         2.5783         4.3795        .476631            298
          1.0302         2.5755        4.39125        .472925          297.8
          1.0274         2.5822         4.4025        .473799         297.99
          1.0254         2.6225          4.475         .47957            298
          1.0234          2.667         4.5735        .488759          302.7
          1.0252         2.6324          4.487        .491666          302.7
          1.0266         2.6022        4.44625        .489812            303
            1.03         2.5875        4.41563        .487567          302.7
          1.0286         2.5535          4.355        .483723          301.1
          1.0204         2.5727        4.39075         .48398         301.65
           1.017         2.5675        4.37625        .484097         301.95
          1.0128         2.5716        4.38025         .48452          302.5
          1.0126         2.5935        4.42875        .490894            303
          1.0118         2.6111         4.4385         .49169            303
          1.0126          2.612         4.4415        .494878            305
          1.0126         2.6267         4.4565        .494291          306.4
          1.0138          2.634        4.47038        .494608          305.6
          1.0142          2.618          4.457         .49429         305.65
          1.0164         2.6223          4.479        .494194         305.15
          1.0122            2.6          4.445        .491666            305
          1.0068          2.606        4.47525        .494119          305.4
          1.0032         2.6058        4.50025        .493754          303.7
               1         2.5995        4.48338        .492926         303.55
           .9978          2.575        4.46125        .492393            303
           .9956          2.546        4.45375        .493291          300.4
           .9936         2.5565          4.467         .49351         301.85
           .9884          2.555        4.48038        .493705          301.8
           .9884          2.569         4.4945        .493974          301.7
            .984         2.5672        4.52775        .517143         301.35
           .9846         2.5568        4.71925         .52233          300.5
           .9848         2.5548        4.69625        .518995          299.8
           .9842         2.5383          4.669        .522002          299.7
           .9806         2.5413         4.6685        .535619          298.8
           .9886         2.5351          4.668        .539433          298.5
           .9814          2.537        4.67125        .541477          298.9
